code,chapter,item,unit,total_cop
0010101,ADECUACION LOTE,Disposicion final de raices (ASUMIDO),und,40883646.19783369
0010104,ADECUACION LOTE,Adecuacion carreteable (ASUMIDO),m3,19939512.176312476
0010106,ADECUACION LOTE,Cerramiento temporal en teja de zing (ASUMIDO),m2,20039426.216218766
0010108,ADECUACION LOTE,Localizacion y replanteo,dia,127444387.06079562
0010109,ADECUACION LOTE,Mantenimiento de vía externa,mes,3648051.0336470013
0010201,INSTALACIONES PROVISIONALES,Campamento provisional de obra,und,51031602.611924484
0010301,REDES PROVISIONALES,Red electrica provisional externa (ASUMIDO),und,100000000.00000001
0010303,REDES PROVISIONALES,Red acueducto / alcantarillado provisional (ASUMIDO),und,11162969.94802737
4010802,PAISAJISMO GENERAL,"Grama externa para zonas verdes al lado de los andenes a lado y lado de la via, grama en zona esterna de porteria al pie de cerramiento y taludes de corte y lleno generados en el movimiento de tierra.",m2,62587576.518132284
4010901,CERRAMIENTOS PERIMETRALES GENERALES,Cerramiento en tuberia en acero + talon en concreto 20x40 + viga de fundacion 30x30 + micropilotes  cada 2m diametro,m,225937462.5058093
4010903,CERRAMIENTOS PERIMETRALES GENERALES,Cerramiento en poste inmunizado mas malla eslabonada,m,122037913.04763523
4010904,CERRAMIENTOS PERIMETRALES GENERALES,"Cerramiento en eugenio (3 Eugenios por metro lineal, altura 50cm)",m,67887765.89862643
4011002,ZONAS DE BIENESTAR GENERALES,Parque infantil,und,21481183.706527006
4011003,ZONAS DE BIENESTAR GENERALES,Puente en madera inmunizada,m,20368640.0
4011102,VARIOS URBANISMO GENERAL,Totem informativo,und,11907133.757666063
4020100,URBANISMO - MOVIMIENTO DE TIERRA,EXCAVACIONES,,163942018.48573986
4020101,URBANISMO - MOVIMIENTO DE TIERRA,Excavacion cargue y botada interna de tierra medido en sitio,m3,130432508.49397781
4020103,URBANISMO - MOVIMIENTO DE TIERRA,Conformacion de material de excavacion en sitio de disposicion,m3,33509509.99176205
4020200,URBANISMO - MOVIMIENTO DE TIERRA,LLENOS,,59476360.24759418
4020202,URBANISMO - MOVIMIENTO DE TIERRA,Perfilacion y compactacion de subrasante,m2,19078584.384957314
4020203,URBANISMO - MOVIMIENTO DE TIERRA,Lleno material de reemplazo con limo interno,m3,40397775.862636864
4030000,URBANISMO - MOVIMIENTO DE TIERRA,URBANISMO  - VIA,,1613277912.3011038
4030100,URBANISMO - MOVIMIENTO DE TIERRA,ESTRUCTURA,,1161104686.307778
4030101,URBANISMO - MOVIMIENTO DE TIERRA,Suministro transporte y colocación de base granular,m3,425460213.69271183
4030104,URBANISMO - MOVIMIENTO DE TIERRA,Suministro transporte y colocación de cordon de las vias 35cm 3 caras,m,137277868.4104126
4030105,URBANISMO - MOVIMIENTO DE TIERRA,Imprimacion con emulsion asfaltica,m2,25076352.515895143
4030106,URBANISMO - MOVIMIENTO DE TIERRA,Suministro y colocacion de pavimento,m3,529363858.8403796
4030107,URBANISMO - MOVIMIENTO DE TIERRA,Suministro y colocacion de geomala biaxial pbx 20-20,m2,43926392.84837854
4030200,URBANISMO - MOVIMIENTO DE TIERRA,FILTROS,,87929474.52989215
4030201,URBANISMO - MOVIMIENTO DE TIERRA,Filtro con alveodren colector 50 cm (solo en el pie de talud de corte),m,87929474.52989215
4030300,URBANISMO - MOVIMIENTO DE TIERRA,CUNETAS,,17280244.51578722
4030301,URBANISMO - MOVIMIENTO DE TIERRA,Cuneta en geomembrana calibre 20 (ronda de coronacion) (0.25m x 0.35m x 0.25m),m,17280244.51578722
4030400,URBANISMO - MOVIMIENTO DE TIERRA,ANDENES,,335603145.75864947
